Experiment,Model,Max Features,Accuracy,Precision,Recall,F1-Score,TN,FP,FN,TP,CV F1,Best Params
8a: unigram+bigram,Multinomial Naive Bayes,40000,0.7512,0.3656,0.5458,0.4379,1047,269,129,155,,
8a: unigram+bigram,Logistic Regression,40000,0.7944,0.3743,0.2359,0.2894,1204,112,217,67,,
8a: unigram+bigram,LinearSVC,40000,0.7775,0.3462,0.2852,0.3127,1163,153,203,81,,
8a: unigram+bigram,LinearSVC (Balanced),40000,0.775,0.3417,0.2887,0.313,1158,158,202,82,,
8a: unigram+bigram,Multinomial Naive Bayes,5000,0.7081,0.3357,0.6585,0.4447,946,370,97,187,,
8a: unigram+bigram,Logistic Regression,5000,0.7638,0.3259,0.3099,0.3177,1134,182,196,88,,
8a: unigram+bigram,LinearSVC,5000,0.7306,0.2882,0.3521,0.317,1069,247,184,100,,
8a: unigram+bigram,LinearSVC (Balanced),5000,0.7294,0.2913,0.3662,0.3245,1063,253,180,104,,
8a: unigram+bigram,Multinomial Naive Bayes,1000,0.7038,0.3241,0.6162,0.4248,951,365,109,175,,
8a: unigram+bigram,Logistic Regression,1000,0.7938,0.3693,0.2289,0.2826,1205,111,219,65,,
8a: unigram+bigram,LinearSVC,1000,0.7944,0.3653,0.2148,0.2705,1210,106,223,61,,
8a: unigram+bigram,LinearSVC (Balanced),1000,0.6881,0.2888,0.5176,0.3707,954,362,137,147,,
8b: GridSearchCV,Multinomial Naive Bayes,20000,0.7219,0.34,0.6021,0.4346,984,332,113,171,0.4426,"{'alpha': 1.0, 'max_features': 20000, 'ngram_range': (1, 2)}"
8b: GridSearchCV,Logistic Regression,40000,0.7444,0.3602,0.5669,0.4405,1030,286,123,161,0.4331,"{'C': 0.01, 'class_weight': 'balanced', 'max_features': 40000, 'ngram_range': (1, 1)}"
8b: GridSearchCV,LinearSVC (Balanced),20000,0.7506,0.3442,0.4472,0.389,1074,242,157,127,0.3764,"{'C': 0.01, 'class_weight': 'balanced', 'max_features': 20000, 'ngram_range': (1, 1)}"
