Model,Max Features,Accuracy,Precision,Recall,F1-Score,TN,FP,FN,TP
LinearSVC,40000,0.7544,0.3153,0.3275,0.3212,1114,202,191,93
LinearSVC,5000,0.7362,0.3017,0.3697,0.3323,1073,243,179,105
LinearSVC,1000,0.7919,0.3515,0.2042,0.2584,1209,107,226,58
LinearSVC (Balanced),40000,0.7525,0.3133,0.331,0.3219,1110,206,190,94
LinearSVC (Balanced),5000,0.7325,0.2989,0.3768,0.3333,1065,251,177,107
LinearSVC (Balanced),1000,0.6775,0.2811,0.5246,0.3661,935,381,135,149
Logistic Regression,40000,0.785,0.3585,0.2676,0.3065,1180,136,208,76
Logistic Regression,5000,0.7744,0.3502,0.3169,0.3327,1149,167,194,90
Logistic Regression,1000,0.7912,0.358,0.2218,0.2739,1203,113,221,63
Multinomial Naive Bayes,40000,0.7669,0.3781,0.4859,0.4253,1089,227,146,138
Multinomial Naive Bayes,5000,0.7031,0.3333,0.6725,0.4457,934,382,93,191
Multinomial Naive Bayes,1000,0.6988,0.3193,0.6162,0.4207,943,373,109,175
