clean_text,label
nearly year thailand devalued baht setting worldwide market drops ride asian portfolio managers probably prefer past months havent quit jobs decided sail world instead pity small investor avidly checking performance asian mutual funds breakfast day day asian markets suffered staggering declines july thailand let baht float asian currencies stock markets crumbled jolting emerging markets brazil russia european stock markets felt heat asias plunge markets resilient whats investor steer clear asia lighten holdings load european stocks say experts big liquid beautiful says leila heckman managing director global asset allocation salomon smith barney new york,Not Relevant
new york investors try play stock market hitching star fastest moving mutual funds idea fund switcher merely fund investor example switch money market mutual funds rates decline equity funds specialize stocks stock market slows switch money market funds try better performance switching bond funds rates start fall stock funds stock market moves money funds stocks decline rates rise greater refinement switch equity funds different types stocks exert market leadership example ride gold stock funds rate increase starts slow switch funds specialize blue chips energy stocks outperforming rest market easiest way switch fund invest mutual fund group companies offer different types funds usually let switch just making phone year billion shifted fund family,Not Relevant
richmond march fierce winter weather impact national recession delivered onetwo punch virginia january sending state unemployment rate postworld war ii high percent work encouraging word gov charles robb announced today state reopen branch offices restore placement services locations jobless rate highest hit percent march percent higher january things worse state metropolitan areas layoffs concent rated percent january roanoke rate percent december rose percent january northern virginia continued lowest unemployment rate state metropolitan areas percent populous area home federal employes work dc rate percent december,Relevant
washington debtor nations bankers scramble deflect default government officials argue longterm solution international debt crisis isnt possible changes worlds monetary london developedcountries economic summit earlier month leaders seven major industrial democracies reiterated support study started year ago request french president francois mitterrand ways improve operation international monetary studys vague goals suggest bureaucratic exercise buy time small vocal group conservative economists wants fundamental changes monetary sooner better international monetary reform issue mid just tax reform issue early predicts rep jack kemp new york republican says convene second bretton woods conference lead world gold standard year marks th anniversary bretton woods nh meeting created postworld war ii monetary order world bank international monetary fund fixed currencyexchange rates tied dollar turn anchored gold bank fund remain fixed exchange rates collapsed early stopped redeeming foreignheld dollars gold world moved current floating exchange rates rep kemp gold advocates contend world suffered expansion debt soaring inflation high rates measures endorsed london summit longer loanrepayment periods nations private investment development nations provide shortterm relief current debt difficulties gold advocates insist return gold standard lead international financial stability,Not Relevant
loud voices screaming circles deficit sleeper election year prove flat tax idea played various ends political spectrum democrats got version bradleygephardt treasury pondering idea postelection possibility friday rep jack kemp unveiled plan cosponsored sen robert kasten basic flat tax idea drop existing deductions exclusions slash marginal tax rates half rate bradleygephardt kempkasten plans expand standard exemption kept inflation retain progressive structure leading rates intend leave distribution tax burden income unchanged important differences kempkasten bradleygephardt bradley proposal repeal indexing reintroduce bracket creep effects severe rate kemp plan keeps bracket indexing index capitalgains computing real gains taxed kempkasten protects silent majority historically ripped inflation bradleygephardt provisions make wonder just actually simplify tax code plans point direction striking congruence economic thinking assume lower rates stimulate work savings investment broad general effect lower tax rates contribute economic growth mr bradley says great theoretical appeal proposals lower marginal rates costing government revenues course marginal rates wedge taken additional dollar earnings big effect economic incentives incentive effect course central point supplyside economics far parties enthused havent ronald reagan began plugging flat tax columns copley news service years ago remains supporter promise blandly consider matter gary hart walter mondale bradleygephardt threehour debate dartmouth college mentioning idea parties content leave strategic hill unoccupied,Not Relevant
new york currency traders returned strategy say clear bet make buy europe sell japan amounted market pattern repeated numerous occasions recent weeks dollar falling mark rising yen alongside healthy rally markyen analysts said tuesdays quarterpercentagepoint cut fed funds rate suggests federal reserve make additional easings year end process believe weigh dollar lower rates make dollardenominated assets attractive notwithstanding recent signs german chancellorelect gerhard schroeder favors softer monetary policy bundesbank believed adamantly opposed german rate cuts add situation additional bad news japanese banks yesterday markyen looked like strong buy traders said markyen favorite play past weeks mark gets yen level look like people really coming start selling yen said john mccarthy vice president foreign exchange ing barings capital markets new york,Not Relevant
new york july ease border abandonmajor banks putting recordsized lines credit big companies stalking takeover targets slightly smaller concerns wield credits defend independence mobil corp said interested buying beleaguered conoco arranging billion credit line syndicate banks headed citibank ei du pont nemours offer conoco conoco preferred suitor arranged billion loan commitments week billion week texaco reportedly line credit billion putting week pennzoil draw billion bankers marathon oil said takeover target revealed today lining new credit line chase manhattan syndicate conoco taking chances white knight du pont canadian distiller seagram unfriendly bid conoco mobil make offer stamford connbased conoca arranged billion credit line used buy stock attempt thwart takeover merely threat company turn billion line credit billion liability turn potential buyers apparently seagram middle hot bidding war du pont companies pursuer pursued knocking doors faces syndicates involved big deals ve read newspapers said,Not Relevant
new york jan bullish news failed stimulate stock market today declined moderate trading brokers ascribed weakness increasing uncertainty president eilfenhower candidate reelection associated press index stocks matching monday dip industrials fell rails utilities cents trading volume shares compared friday monday drop retreat came day gm president harlow curtice predicted record year economy said company spend billion dollars expansion president eisenhower sent congress balanced budget proposals rise government spending steel output announced reaching new weekly high,Relevant
washingtonthe breakdown deficitreduction talks white house speaker house john boehner ohio immediately increase risk standard poors takes unprecedented step lowering topnotch rating government debt creditrating firm warned repeatedly downgrade debt believes deficitreduction deal isnt robust change countrys trajectory future debt growth downgrade come officials agree raise federal debt ceiling aug treasury department officials set deadline date borrowing authority government run cash pay bills messrs obama boehner trying package deal reduce future federal deficits trillion years level sp officials suggested sufficient avoid downgrade lower credit rating raise borrowing costs just government consumers businesses slow economic growth lower value treasury securities held assets banks pension funds mutual funds hedge funds investors world potentially shaking financial markets largescale talks broken policy makers likely pursue smallerscale deal falls short sps targets mr obama alluded possibility friday evening come plan actual deficit debt reduction doing extending debt ceiling seven months probabilities downgrading credit increased additional cloud economy make difficult difficult businesses create jobs american people desperately need mr obama said friday evening,Relevant
youre concerned nutrition stop reading column dont bother mes food fatalists cocky unconverted holiday season turn nutritional goody goody temporary glutton numbers consumers dont care eat entire year surprisingly large possibly growing fact nutrition high pollsters leveling slight decline publics concern theres sizable percentage population isnt getting nutrition message doesnt want bothered american dietetic association survey respondents dont consider nutrition important arent interested changing eating habits additional percent said know admit arent doing maintain healthful eating pattern percent said consider diet nutrition important theres group people wont change eating habits improve quality lives theyre threatened health crisis said judy dodd presidentelect ada,Not Relevant
president carter newly revamped economic team facing policymaking box efforts steer economy elections dilemma cope coming recession exacerbating inflation provoking slide dollar carter calmed market jitters nomination paul volcker undersecretary treasury monetary affairs chairman federal reserve board fact problems president began reshuffling experts believe nomination volcker likely make tougher white house achieve goals volcker sensitive dollar troubles outgoing fed chief william miller monetary policy tighter predecessor predicament frustrating previous years president feared prospect coming recession thing stimulate economy example carter proposed major cut income taxes big new jobcreation program congress approved time inflation virulent liberals fear additional stimulus heighten wageprice spiral carter congress urged caution taxcut analysts argue cut involve social security taxes inflationary,Not Relevant
day virginia seri chftck robb pressed challengers tv debate explain federal deficit blurted epic words food mouths widows orphans necessary begin solve problem deficit robb rivals democratic gov douglas wilder termed stupid line robbs main republican challenger oliver north responded organizing widows orphans north robb gaffe reflected harried candidate momentarily losing judgment pressure bad fact haploss statement just logical conclusion democrats trying play republican game literally proposing starve widows orphans order demonstrate fiscal rectitude satisfy bond traders unfortunately subtle version myopia afflicts just robb democratic party congress dozens democrats embraced budgetbalajice fever exclusion themes traditionally rallied voters white house alice rivlin director office management budget pushing president clinton press deeper budget cuts white house staff divided revive idea middle class tax cut proposal said sympathy chief staff leon panetta,Not Relevant
billionplus weight lifting bit stock market thanks drastic turnaround rates improved stock market returns prognosis health corporate pension plans isnt quite gloomy investors feared just weeks ago recent months analysts investors focused combination falling rates sharply boosted present value companies owe current future pensioners years miserable stockmarket performance sharply depressed assets plans everybody talked perfect storm says jack ciesielski editor analysts accounting observer newsletter baltimore storm poised worsen recently midjune standard poors cautioned underfunding pensions sp stock index jumped months additional billion billion year end yearend figure represented big reversal year billion surplus,Relevant
quoted theres outsourcerinchief president united states guy whos running replace mitt romney july companies romneys firm owned pioneers outsourcing american jobs places like china india barack obama june reality democrats republicans accusing nefarious practice shipping american jobs overseas parties good arguments opponent helped outsource jobs sides exaggerated evidence way misleads voters,Not Relevant
oakland calif claremont creek ventures recently decide young forsake venturecapital firm invested companies online travel site cfares genetictechnology startup gene security network cash million venture fund launched amid financial crisis plunging stock market claremont creek decided focus funds best investments stop backing lesspromising startups wanted sure cash years winners venture firm ranked startups funds company portfolio grade doubling likely wont invest capital companies says john steuart claremont creek managing director portfolio competing survival fittest brutal gene security fastgrowing maker genetic tests identify potential abnormalities embryos got month claremont creek poured million company million invested,Relevant
wall street finished uninspired session mixed monday new high oil prices partly offset betterthanexpected reading nations industrial activity strong sales wal mart stores stock market remained resilient face record intraday closing prices oil barrel light crude reached intraday high closing new york mercantile exchange death saudi king fahd cited creating uncertainty oil market surge oil prices mitigated upbeat july sales wal mart bullish reading institute supply managements manufacturing index showing consumer industrial sectors adapted high energy costs strong growth economy raised concerns federal reserve policy gradually raising nations benchmark rate dow jones industrial average fell percent standard poors stock index rose percent nasdaq composite index gained percent walmart rose cents retailer reported percent increase sales stores open year strong sign consumer spending,Not Relevant
involvement balkan crisis weaken consumers rosy outlook economy conference board said monthly consumerconfidence index rose april march reaching highest level summer low unemployment booming stock market helped gauge lofty levels looking number fall kosovo crisis said tim martin senior economist bankamerica corp consumers arent focused war kosovo kind surprising gulf war consumer confidence took pretty severe beating sales existing homes rose march strong economy low mortgage rates continued lure buyers national association realtors said existing singlefamily homes changed hands seasonally adjusted annual rate million compared million february million march sales rose slightly midwest west northeast fell slightly south flat homesales report surprised economists predicted home sales drop februarys level forecast based partly mortgageapplication survey compiled mortgage bankers association america showed activity purchase mortgages leading indicator home sales slipped recent weeks,Not Relevant
mumbaiindian shares closed highest level months tuesday lifted sustained buying foreign funds frontline stocks cigarette maker itc icici bank bombay stock exchanges sp bse sensex index gained points close points highest level jan national stock exchanges nifty index rose points end gains stock market strong dollar inflows dealers said likely related corporate deal lifted local currency dollar gmt dollar quoted rupees compared rupees asia late monday dealers said dollar inflows likely related qatar foundation endowments deal announced week buy stake indian telecommunications major bharti airtel billion global liquidity chasing emergingmarket stocks india beneficiaries said nilesh karani assistant vice president research magnum equity broking,Not Relevant
junk continues beat quality wall street nearly years end recession way federal reserves monetary stimulus big reason unexpected outcome feds easymoney policies wont continue indefinitely investors want begin reducing holdings lowquality stocks biggest casualties fed turns spigot fed policies distorted markets encourage risktaking quantitativeeasing programs injecting money directly economy keeping shortterm rates close zero fed discouraged investors keeping money conservative savings accounts created powerful incentives money stocks socalled junk stocks ones biggest beneficiaries feds policies companies run greatest risk going bankrupt tend loaded debt poor balance sheets worse tend inconsistent unpredictable earnings,Not Relevant
new york july stock market prices tumbled new lows year today amid continuing concern fate income tax surcharge stronger antiinflation steps taken surtax permitted expire rush trading brokers said signs panicky selling prices fell steadily opening bell major market indicators near lowest levels day close dow jones industrial average finished loss points previous touched june dow lowest close april finished stocks average able gain ground unchanged fell better tuesday stocks dropped standard poor stock composite point new york stock exchange index lost point second day row exchange ticker tape able pace trading day close million shares changed hands exactly total tuesday brokers mixed reaction relatively low turnover saw sign selling running hoping technical selling climax clear way rebound,Not Relevant
